#hypernode	nodes
http://pathwaycommons.org/pc12/Complex_3f6701c40cf187f9e3c01d13ad13f11d	http://pathwaycommons.org/pc12/Protein_e890064b26a3151e11c4e04862dfa6d1;http://pathwaycommons.org/pc12/Protein_ad21f1ea4b63b14ceaa48217088bf7a3
http://pathwaycommons.org/pc12/Complex_3469675503e2bf673d4c1a893327ad3f	http://pathwaycommons.org/pc12/Protein_384fe281935f8087f3f15039e62393fd;http://pathwaycommons.org/pc12/Protein_abc10fb073dfcafaa50d0a4546075941;http://pathwaycommons.org/pc12/Protein_9e1d392d43b9feb7bcbf4808c43211c4;http://pathwaycommons.org/pc12/Protein_61485a483558e575ef35bb8277efd2b0
http://pathwaycommons.org/pc12/Complex_b24639de7aa549cb306ee385a4671c34	http://pathwaycommons.org/pc12/Protein_90a8560c1ed81c0465683b0f5164a1ce;http://pathwaycommons.org/pc12/Protein_4133aad4013f6c5dd7d54282fede8b04;http://pathwaycommons.org/pc12/Protein_0c0d5a141fe1f323fa400a7643d08e42
http://pathwaycommons.org/pc12/Complex_990524bf0132912f5ebf430f876a2e2b	http://pathwaycommons.org/pc12/Protein_b165c3794b606bc173a32b18c12b16bb;http://pathwaycommons.org/pc12/Protein_b3bfbd72d8609591355de50c34aed639
http://pathwaycommons.org/pc12/Complex_4e0454fb3b1629d0c4999fbd225db771	http://pathwaycommons.org/pc12/Protein_701b73e0f1a4abb1a19402672f4603ed;http://pathwaycommons.org/pc12/Protein_01eb212d3406e9cb95f7664c39d72ea8
http://pathwaycommons.org/pc12/Complex_cccaf287f56a4eb80e7c211193971a5b	http://pathwaycommons.org/pc12/Protein_9a3dea8365b019bcdc76a13a8ef20bae;http://pathwaycommons.org/pc12/Protein_177d8c5b4117075fa46b561c4b6f951c;http://pathwaycommons.org/pc12/Protein_e9e784b0f90d12f18c154dce7f908817;http://pathwaycommons.org/pc12/Protein_fc2abf1f543d769fa31aac227895554a;http://pathwaycommons.org/pc12/Protein_df167e39fb4c479b21085f874e9dd727;http://pathwaycommons.org/pc12/Protein_4d0bc1ac10e209f0f724ffc21af882bf;http://pathwaycommons.org/pc12/Protein_2e443f454d3b0b7b077fdbeda0f75e51;http://pathwaycommons.org/pc12/Protein_1b1eff1a20f84caf5394d06ecb1676dd;http://pathwaycommons.org/pc12/Protein_039205c3afb3f439d4f94f14a6e7802c;http://pathwaycommons.org/pc12/Protein_6e85e41ceb217f2cc2bfd3d348ce1805
http://pathwaycommons.org/pc12/Complex_5b82032b25e44b0e10f83607c0aa1e46	http://pathwaycommons.org/pc12/Protein_c0c7967fead219f5a019802abb7f2294;http://pathwaycommons.org/pc12/Protein_481fd9fedd4e8f9f4b37cb976b474c10;http://pathwaycommons.org/pc12/Protein_546656a3083d15f3cb2af01755332884
http://pathwaycommons.org/pc12/Complex_158ad5840ad7dcdfb4e773ff2931a023	http://pathwaycommons.org/pc12/Protein_9a3dea8365b019bcdc76a13a8ef20bae;http://pathwaycommons.org/pc12/Protein_e9e784b0f90d12f18c154dce7f908817;http://pathwaycommons.org/pc12/Protein_fc2abf1f543d769fa31aac227895554a;http://pathwaycommons.org/pc12/Protein_4d0bc1ac10e209f0f724ffc21af882bf;http://pathwaycommons.org/pc12/Protein_2e443f454d3b0b7b077fdbeda0f75e51;http://pathwaycommons.org/pc12/Protein_6e85e41ceb217f2cc2bfd3d348ce1805
http://pathwaycommons.org/pc12/Complex_7fe7367fd9660f38d104ead8e8383623	http://pathwaycommons.org/pc12/Protein_4d0bc1ac10e209f0f724ffc21af882bf;http://pathwaycommons.org/pc12/Protein_2e443f454d3b0b7b077fdbeda0f75e51;http://pathwaycommons.org/pc12/Protein_fc2abf1f543d769fa31aac227895554a;http://pathwaycommons.org/pc12/Protein_93041ee5696425b044a9f1c0dab55e4e;http://pathwaycommons.org/pc12/Protein_6e85e41ceb217f2cc2bfd3d348ce1805
http://pathwaycommons.org/pc12/Complex_1ad3713016210184f30b681dea2e4d24	http://pathwaycommons.org/pc12/Protein_1effd45d0f6f4ca95e0a4a6986650ade;http://pathwaycommons.org/pc12/Protein_ad21f1ea4b63b14ceaa48217088bf7a3
