#Tail	Head	PosReg	NegReg	ID
http://pathwaycommons.org/pc12/Protein_d63269040270108b57458b2f8fcc810a	http://pathwaycommons.org/pc12/Protein_399a7e67199998bd815120b35f35277d	http://pathwaycommons.org/pc12/Protein_a75406c5c7a7a9f4b02a62df8d3210aa	None	http://pathwaycommons.org/pc12/BiochemicalReaction_ea8dc77647e31a5b3ea994a896ef9793
None	http://pathwaycommons.org/pc12/Pathway_166c67be548fa93fba9cf4129e4cbb32	http://pathwaycommons.org/pc12/Protein_e33d76814ad27bf5ef4a66afff12ee64	None	new_http://pathwaycommons.org/pc12/Control_06f6c5953a1fa946f0dc2c71cc4d555b
None	http://pathwaycommons.org/pc12/Pathway_8fe53409f631b1d3941d3132b0f2e4ae	None	http://pathwaycommons.org/pc12/Protein_2e97c0b44bf1063061d48c9d650dbf4a	new_http://pathwaycommons.org/pc12/Control_f09ee37019c6a21636e77e00fba947a9
http://pathwaycommons.org/pc12/Complex_2161170cb3891038fa5a06720b8225c7;http://pathwaycommons.org/pc12/Protein_f464079dfd5e5cbaae7419f4e7a395fb	http://pathwaycommons.org/pc12/Complex_8b4ac2660143f6872612efd6fd9ea5ed	None	None	http://pathwaycommons.org/pc12/ComplexAssembly_854d7743a2b8be3048ba85e8789ea349
http://pathwaycommons.org/pc12/Complex_4b0a5285a24c292b77b9d6f9f10e95c7;http://pathwaycommons.org/pc12/SmallMolecule_15ce442c71e643932dc9f92fae134719	http://pathwaycommons.org/pc12/Complex_9bedec822404e8486b578e16e9d53bf4;http://pathwaycommons.org/pc12/SmallMolecule_d9d811e9536142ed4fbe2ad0736679b3	http://pathwaycommons.org/pc12/SmallMolecule_bd44b938f035283d8d17fc5e9cbc10ce	None	http://pathwaycommons.org/pc12/BiochemicalReaction_7e5c91fe76560b09037b7e7ba4eaecc1
http://pathwaycommons.org/pc12/Complex_2161170cb3891038fa5a06720b8225c7;http://pathwaycommons.org/pc12/Protein_03902b101b63d6f48dffdb5f174143c6	http://pathwaycommons.org/pc12/Complex_c475ef3f9ace73fd0c81a90b87c23a2c	None	None	http://pathwaycommons.org/pc12/ComplexAssembly_312773180a5b27311959c6fe497a616e
http://pathwaycommons.org/pc12/SmallMolecule_9a60aefd77ea0eab7330e6b59b4e32d1	http://pathwaycommons.org/pc12/SmallMolecule_bd44b938f035283d8d17fc5e9cbc10ce	http://pathwaycommons.org/pc12/Complex_5b32a1d310524b3e3be17e72c0207a8d	None	http://pathwaycommons.org/pc12/BiochemicalReaction_3b369f06d6e87f74e3c2d406eb184647
None	http://pathwaycommons.org/pc12/Pathway_2bed96969c190975473e8e9ba86595eb	http://pathwaycommons.org/pc12/Protein_d7be939a9dacbc05a17d41073bb873c0	None	new_http://pathwaycommons.org/pc12/Control_e1fbeeed47849c6d1661fcf692b82c0b
None	http://pathwaycommons.org/pc12/Pathway_2bed96969c190975473e8e9ba86595eb	http://pathwaycommons.org/pc12/Protein_b41e2295ae00f2806591ef13feff9973	None	new_http://pathwaycommons.org/pc12/Control_6ed9aedfe2cbb498a9b30dddbce55500
None	http://pathwaycommons.org/pc12/Pathway_2bed96969c190975473e8e9ba86595eb	None	http://pathwaycommons.org/pc12/Protein_038a9f0b4c793a63f6aa4264f3504bc5	new_http://pathwaycommons.org/pc12/Control_baeacf840e4c8f7271b21bcbddd793fe
None	http://pathwaycommons.org/pc12/Pathway_3e9f3c64e9fb725969dbe0f6fb00c187	http://pathwaycommons.org/pc12/Complex_617777045b4350a61f4baf176daeeee5	None	new_http://pathwaycommons.org/pc12/Control_cf4160f8c1c921d7dc313cd53f21b378
http://pathwaycommons.org/pc12/Protein_d0ea4f0e9c9a48f3c8fff41509792a85	http://pathwaycommons.org/pc12/Protein_b41e2295ae00f2806591ef13feff9973	http://pathwaycommons.org/pc12/Complex_2161170cb3891038fa5a06720b8225c7	None	http://pathwaycommons.org/pc12/BiochemicalReaction_265929b6e486a686db468f4309b4232b
http://pathwaycommons.org/pc12/Protein_d5c84bb340f428a9dad5f64f7ec37074	http://pathwaycommons.org/pc12/Protein_d7be939a9dacbc05a17d41073bb873c0	http://pathwaycommons.org/pc12/Complex_2161170cb3891038fa5a06720b8225c7	None	http://pathwaycommons.org/pc12/TransportWithBiochemicalReaction_b6177e5a52362f5b505808c4825f07ff
http://pathwaycommons.org/pc12/Complex_1dcb18a98ee888822072cb92c3b4b23f;http://pathwaycommons.org/pc12/Complex_2161170cb3891038fa5a06720b8225c7	http://pathwaycommons.org/pc12/Complex_5b32a1d310524b3e3be17e72c0207a8d	None	None	http://pathwaycommons.org/pc12/ComplexAssembly_8e7295da24fd1df48aef173edf1846ff
None	http://pathwaycommons.org/pc12/Pathway_40d1c7b900720716ccdb921434b4705b	None	http://pathwaycommons.org/pc12/Complex_a2353ca544e8fb7801fcbb9b4a6744a8	new_http://pathwaycommons.org/pc12/Control_4d44fdc87b10bab46dc2d3ac06d2cf3a
None	http://pathwaycommons.org/pc12/Pathway_4daa9c2d2dcda0ef01cd95bec38a7d45	http://pathwaycommons.org/pc12/Complex_9bedec822404e8486b578e16e9d53bf4	None	new_http://pathwaycommons.org/pc12/Control_2155bb559e8114723ad0a4333d9ce337
http://pathwaycommons.org/pc12/Complex_bb2d816638bf48b96eebb99be3d41d74	http://pathwaycommons.org/pc12/Complex_cf85cd3e260775e0ea1e6c0a17341670	http://pathwaycommons.org/pc12/Protein_74e9d3a33c252899067dabb4ef47ad11	None	http://pathwaycommons.org/pc12/BiochemicalReaction_d62a3efca34bfb123418c18cf0c9b713
http://pathwaycommons.org/pc12/Complex_70eefbd1625dd13608cc987b1694a6e5	http://pathwaycommons.org/pc12/Complex_2161170cb3891038fa5a06720b8225c7	None	None	http://pathwaycommons.org/pc12/ComplexAssembly_464dbbc7c1d1dba27aad29ed96c6103d
http://pathwaycommons.org/pc12/Complex_4b0a5285a24c292b77b9d6f9f10e95c7;http://pathwaycommons.org/pc12/SmallMolecule_15ce442c71e643932dc9f92fae134719	http://pathwaycommons.org/pc12/Complex_9bedec822404e8486b578e16e9d53bf4;http://pathwaycommons.org/pc12/SmallMolecule_d9d811e9536142ed4fbe2ad0736679b3	http://pathwaycommons.org/pc12/Complex_8b4ac2660143f6872612efd6fd9ea5ed	None	http://pathwaycommons.org/pc12/BiochemicalReaction_de96d3808ba8a0a3f8e00355ba72f0a1
http://pathwaycommons.org/pc12/Protein_038a9f0b4c793a63f6aa4264f3504bc5	http://pathwaycommons.org/pc12/Protein_30f5ae52c96fb8212a0a4178c5005661	http://pathwaycommons.org/pc12/Complex_9bedec822404e8486b578e16e9d53bf4	http://pathwaycommons.org/pc12/Complex_4b0a5285a24c292b77b9d6f9f10e95c7	http://pathwaycommons.org/pc12/BiochemicalReaction_464d674e09e057d02690d1fb1c68746f
None	http://pathwaycommons.org/pc12/Pathway_5a2b592f8bfa775fe6e12e837555c83b	None	http://pathwaycommons.org/pc12/Protein_d5c84bb340f428a9dad5f64f7ec37074	new_http://pathwaycommons.org/pc12/Control_89ef1f7c05b17873a592ef99b4f0c4e7
http://pathwaycommons.org/pc12/Complex_9bedec822404e8486b578e16e9d53bf4;http://pathwaycommons.org/pc12/SmallMolecule_d9d811e9536142ed4fbe2ad0736679b3	http://pathwaycommons.org/pc12/Complex_4b0a5285a24c292b77b9d6f9f10e95c7;http://pathwaycommons.org/pc12/SmallMolecule_15ce442c71e643932dc9f92fae134719	http://pathwaycommons.org/pc12/SmallMolecule_50120a3d62484c323152747dbc6edb84;http://pathwaycommons.org/pc12/Complex_2161170cb3891038fa5a06720b8225c7	None	http://pathwaycommons.org/pc12/BiochemicalReaction_9b29f430822f1f1b88ec5be11c218a3b
