CH3NH2     Photon                 H          CN         H2         H2                      2.200e-10  0.000e+00  1.760e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    29 1  2
CH3NH2     Photon                 H          CN         H2         H2                      1.020e-10  0.000e+00  2.369e+00 1.30e+00 0.00e+00 logn  3  -9999   9999  2    29 2  2
CH3NH2     Photon                 H          H          CH2NH                              8.700e-11  0.000e+00  1.510e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    30 1  2
CH3NH2     Photon                 H          H          CH2NH                              4.040e-11  0.000e+00  2.369e+00 1.30e+00 0.00e+00 logn  3  -9999   9999  2    30 2  2
CH3NH2     Photon                 CH3NH2+    e-                                            4.600e-10  0.000e+00  2.280e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    31 1  2
CH3NH2     Photon                 CH3NH2+    e-                                            1.600e-09  0.000e+00  2.369e+00 1.30e+00 0.00e+00 logn  3  -9999   9999  2    31 2  2
CH3NH2     Photon                 H          H          H2         HCN                     8.600e-10  0.000e+00  1.730e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    32 1  2
CH3NH2     Photon                 H          H          H2         HCN                     3.990e-10  0.000e+00  2.369e+00 1.30e+00 0.00e+00 logn  3  -9999   9999  2    32 2  2
HC5N       Photon                 CN         C4H                                           5.000e-10  0.000e+00  1.830e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    33 1  1
HC5N       Photon                 H          C5N                                           5.000e-10  0.000e+00  1.830e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    34 1  1
CH3C3N     Photon                 C3N        CH3                                           2.000e-11  0.000e+00  1.700e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    35 1  1
NC4N       Photon                 C2         CN         CN                                 2.000e-11  0.000e+00  1.700e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    36 1  1
NC6N       Photon                 CN         CN         C4                                 2.000e-11  0.000e+00  1.700e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    37 1  1
