OH          0.000e+00 0.00e+00  2.850e+03 0.00e+00 1      H2O 1
OH          0.000e+00 0.00e+00  4.600e+03 1.38e+03 1      H2O 2
OH          3.760e+15 0.00e+00  5.698e+03 0.00e+00 1 CompactA 2
OH          3.760e+15 0.00e+00  5.698e+03 0.00e+00 1  Olivine 2
PH          0.000e+00 0.00e+00  1.550e+03 0.00e+00 1      H2O 1
PN          0.000e+00 0.00e+00  1.900e+03 0.00e+00 1      H2O 1
PO          0.000e+00 0.00e+00  1.900e+03 0.00e+00 1      H2O 1
S2          0.000e+00 0.00e+00  2.200e+03 0.00e+00 1      H2O 1
SiC         0.000e+00 0.00e+00  3.500e+03 0.00e+00 1      H2O 1
SiH         0.000e+00 0.00e+00  3.150e+03 0.00e+00 1      H2O 1
SiH         0.000e+00 0.00e+00  1.300e+04 3.90e+03 1      H2O 2
SiN         0.000e+00 0.00e+00  3.500e+03 0.00e+00 1      H2O 1
SiO         0.000e+00 0.00e+00  3.500e+03 0.00e+00 1      H2O 1
SiS         0.000e+00 0.00e+00  3.800e+03 0.00e+00 1      H2O 1
SO          0.000e+00 0.00e+00  2.600e+03 0.00e+00 1      H2O 1
SO          0.000e+00 0.00e+00  2.800e+03 8.40e+02 1      H2O 2
CCH         0.000e+00 0.00e+00  2.137e+03 0.00e+00 1      H2O 1
CCH         0.000e+00 0.00e+00  3.000e+03 9.00e+02 1      H2O 2
CCN         0.000e+00 0.00e+00  2.400e+03 0.00e+00 1      H2O 1
CCS         0.000e+00 0.00e+00  2.700e+03 0.00e+00 1      H2O 1
C3          0.000e+00 0.00e+00  2.400e+03 0.00e+00 1      H2O 1
C3          0.000e+00 0.00e+00  2.500e+03 7.50e+02 1      H2O 2
CCO         0.000e+00 0.00e+00  1.950e+03 0.00e+00 1      H2O 1
CCP         0.000e+00 0.00e+00  4.300e+03 0.00e+00 1      H2O 1
CH2         0.000e+00 0.00e+00  1.050e+03 0.00e+00 1      H2O 1
CH2         0.000e+00 0.00e+00  1.400e+03 4.20e+02 1      H2O 2
CO2         0.000e+00 0.00e+00  2.575e+03 0.00e+00 1      H2O 1
CO2         0.000e+00 0.00e+00  2.600e+03 7.80e+02 1      H2O 2
CO2         6.810e+16 0.00e+00  3.196e+03 0.00e+00 1 CompactA 2
CO2         7.430e+16 0.00e+00  3.243e+03 0.00e+00 1 Highly-O 2
CO2         7.430e+16 0.00e+00  3.738e+03 0.00e+00 1     SiOx 2
H2O         0.000e+00 0.00e+00  5.700e+03 0.00e+00 1      H2O 1
H2O         0.000e+00 0.00e+00  5.600e+03 1.68e+03 1      H2O 2
H2O         4.960e+15 0.00e+00  5.705e+03 0.00e+00 1 CompactA 2
H2O         4.960e+15 0.00e+00  5.792e+03 0.00e+00 1 Highly-O 2
H2O         4.960e+15 0.00e+00  5.755e+03 0.00e+00 1  Olivine 2
H2S         0.000e+00 0.00e+00  2.743e+03 0.00e+00 1      H2O 1
H2S         0.000e+00 0.00e+00  2.700e+03 8.10e+02 1      H2O 2
H2S         4.950e+15 0.00e+00  3.426e+03 0.00e+00 1 CompactA 2
H2S         4.910e+15 0.00e+00  2.616e+03 0.00e+00 1 Highly-O 2
HCN         0.000e+00 0.00e+00  2.050e+03 0.00e+00 1      H2O 1
HCN         0.000e+00 0.00e+00  3.700e+03 1.11e+03 1      H2O 2
HCN         1.630e+17 0.00e+00  5.344e+03 0.00e+00 1 CompactA 2
HCN         1.630e+17 0.00e+00  4.909e+03 0.00e+00 1   Copper 2
HCO         0.000e+00 0.00e+00  1.600e+03 0.00e+00 1      H2O 1
HCO         0.000e+00 0.00e+00  2.400e+03 7.20e+02 1      H2O 2
HCP         0.000e+00 0.00e+00  2.350e+03 0.00e+00 1      H2O 1
HCS         0.000e+00 0.00e+00  2.350e+03 0.00e+00 1      H2O 1
HCS         0.000e+00 0.00e+00  2.900e+03 8.70e+02 1      H2O 2
HCSi        0.000e+00 0.00e+00  3.625e+03 0.00e+00 1      H2O 1
